Date,bitcoin,holt_1_exp,holt_2_exp,holt_5_exp,holt_7_exp
2018-04-26,9281.51,8824.719585222521,9676.330287356688,8874.754435250878,8273.009990985009
2018-04-27,8987.05,9259.985678265119,8824.719585222521,8782.105434431498,8825.009089643412
2018-04-28,9348.48,8966.027492124658,9259.985678265119,8910.022185777287,8874.754435250878
2018-04-29,9419.08,9327.38276272017,8966.027492124658,9676.330287356688,8782.105434431498
2018-04-30,9240.55,9397.985855744193,9327.38276272017,8824.719585222521,8910.022185777287
2018-05-01,9119.01,9220.197542549207,9397.985855744193,9259.985678265119,9676.330287356688
2018-05-02,9235.92,9098.392720509992,9220.197542549207,8966.027492124658,8824.719585222521
2018-05-03,9743.86,9215.691834657213,9098.392720509992,9327.38276272017,9259.985678265119
2018-05-04,9700.76,9722.74735763309,9215.691834657213,9397.985855744193,8966.027492124658
2018-05-05,9858.15,9679.946084483854,9722.74735763309,9220.197542549207,9327.38276272017
2018-05-06,9654.8,9837.148384921427,9679.946084483854,9098.392720509992,9397.985855744193
2018-05-07,9373.01,9634.161814616531,9837.148384921427,9215.691834657213,9220.197542549207
2018-05-08,9234.82,9352.384459393483,9634.161814616531,9722.74735763309,9098.392720509992
2018-05-09,9325.18,9214.830542951908,9352.384459393483,9679.946084483854,9215.691834657213
2018-05-10,9043.94,9304.67030373131,9214.830542951908,9837.148384921427,9722.74735763309
2018-05-11,8441.49,9023.654335902867,9304.67030373131,9634.161814616531,9679.946084483854
2018-05-12,8504.89,8421.359870197519,9023.654335902867,9352.384459393483,9837.148384921427
2018-05-13,8723.94,8484.694144364139,8421.359870197519,9214.830542951908,9634.161814616531
2018-05-14,8716.79,8703.719558206658,8484.694144364139,9304.67030373131,9352.384459393483
2018-05-15,8510.38,8696.627396424186,8703.719558206658,9023.654335902867,9214.830542951908
2018-05-16,8368.83,8490.272666840609,8696.627396424186,8421.359870197519,9304.67030373131
2018-05-17,8094.32,8349.061116010555,8490.272666840609,8484.694144364139,9023.654335902867
2018-05-18,8250.97,8074.903823417274,8349.061116010555,8703.719558206658,8421.359870197519
2018-05-19,8247.18,8231.747944914036,8074.903823417274,8696.627396424186,8484.694144364139
2018-05-20,8513.25,8227.998333779278,8231.747944914036,8490.272666840609,8703.719558206658
2018-05-21,8418.99,8493.322434701295,8227.998333779278,8349.061116010555,8696.627396424186
2018-05-22,8041.78,8399.416709319119,8493.322434701295,8074.903823417274,8490.272666840609
2018-05-23,7557.82,8022.633780491101,8399.416709319119,8231.747944914036,8349.061116010555
2018-05-24,7587.34,7539.338123094373,8022.633780491101,8227.998333779278,8074.903823417274
2018-05-25,7480.14,7568.861691340201,7539.338123094373,8493.322434701295,8231.747944914036
