Simulacion,RMSE (1),RMSE (2),RMSE (3),RMSE (General)
holt lineal alfa 0.1 beta 0.1,216.65226676031804,1219.3157712344223,1621.311524605312,1177.8964604315297
holt lineal alfa 0.1 beta 0.2,221.16964525240638,1412.5869537085832,4162.365120081227,2540.97102873669
holt lineal alfa 0.1 beta 0.3,211.5002715545457,1140.4382865644725,4530.347245046843,2699.9616053463474
holt lineal alfa 0.1 beta 0.4,249.28198567818436,1058.6172881878124,5402.086917864024,3181.475294020653
holt lineal alfa 0.1 beta 0.5,398.52393908981315,1481.6548768585467,5025.114480073579,3033.4742481183484
holt lineal alfa 0.1 beta 0.6,449.24340170179096,2140.640169334459,3376.1892946895086,2322.5570765944517
holt lineal alfa 0.1 beta 0.7,431.3483084231211,3079.636629744932,1772.6036154113724,2066.587098883542
holt lineal alfa 0.1 beta 0.8,400.7193093933846,4113.503936734195,733.8322734799682,2423.4961253011597
holt lineal alfa 0.1 beta 0.9,383.0672677045652,4708.453517202825,613.1983991554789,2750.290126027504
holt lineal alfa 0.2 beta 0.1,209.73448631997957,1214.4415140582169,2625.458471766656,1674.5038004128492
holt lineal alfa 0.2 beta 0.2,211.91685609746696,1122.425816105467,3752.914589412812,2264.8853085006162
holt lineal alfa 0.2 beta 0.3,245.17024203001844,1591.5213730351131,3376.7507556581004,2159.8992564656173
holt lineal alfa 0.2 beta 0.4,243.51980205257513,2232.3171627546203,2565.803158181129,1968.5771219887745
holt lineal alfa 0.2 beta 0.5,224.0129531151698,2496.9685846707107,2290.6531415396094,1960.6228373352108
holt lineal alfa 0.2 beta 0.6,267.01065774376076,2284.1662200626847,2580.1014579060893,1995.4643190089314
holt lineal alfa 0.2 beta 0.7,413.3162392517271,1833.4830444886254,2832.977680525131,1962.8425753151998
holt lineal alfa 0.2 beta 0.8,615.6661636256746,1447.6670077892913,2857.210919314612,1883.1214182774486
holt lineal alfa 0.2 beta 0.9,836.1937451412326,1338.1348996710524,2923.366061298811,1917.9758529488581
holt lineal alfa 0.3 beta 0.1,206.8336953094198,1176.992998784859,2612.8940183467607,1658.8457681790078
holt lineal alfa 0.3 beta 0.2,209.058300324139,1249.8802083481921,3177.3668852992423,1974.9739434526846
holt lineal alfa 0.3 beta 0.3,228.6875478704321,1539.84216337651,2835.739356975971,1867.692835502806
holt lineal alfa 0.3 beta 0.4,332.9998692411696,1528.4216773560822,2673.466272353796,1788.3310325682546
holt lineal alfa 0.3 beta 0.5,534.9163746461124,1312.5751928082168,2713.4893726443347,1767.4853832581675
holt lineal alfa 0.3 beta 0.6,784.0540054578792,1322.288130522206,2799.6663080288904,1844.02802038604
holt lineal alfa 0.3 beta 0.7,1043.3397170214816,1747.87125335713,2912.073596218891,2051.323500671531
holt lineal alfa 0.3 beta 0.8,1293.2492747907695,2437.4987412047344,2984.1455919706964,2346.5590918193143
holt lineal alfa 0.3 beta 0.9,1522.443937652988,3249.2222467693746,2883.168099964262,2657.563987617789
holt lineal alfa 0.4 beta 0.1,205.53150986238373,1183.7806239979786,2497.686729073056,1600.21027408765
holt lineal alfa 0.4 beta 0.2,246.79781700768166,1192.7598983475023,2893.8807306759268,1812.7447899951
holt lineal alfa 0.4 beta 0.3,373.5632214067049,1219.6318429733044,2680.637836718887,1713.9496807501991
holt lineal alfa 0.4 beta 0.4,597.1633794704429,1241.3706884385517,2546.890837088528,1671.7513993753644
holt lineal alfa 0.4 beta 0.5,861.9098510843072,1627.9164997976566,2447.900529528615,1768.7300269002899
holt lineal alfa 0.4 beta 0.6,1123.5400593873212,2346.1236867972298,2272.5638821328585,1994.2571897972323
holt lineal alfa 0.4 beta 0.7,1356.4989455733423,3181.089880202907,1925.2588472493633,2285.172775684068
holt lineal alfa 0.4 beta 0.8,1546.5462492304862,3993.8866738018087,1372.1040730490724,2596.510841588407
holt lineal alfa 0.4 beta 0.9,1687.1173096101134,4711.3841172283555,702.7020139996916,2917.6071952279035
holt lineal alfa 0.5 beta 0.1,215.90775349554357,1207.5351071313055,2367.5984768765543,1539.5107167194697
holt lineal alfa 0.5 beta 0.2,322.11668985021527,1166.1800213640588,2659.158537013871,1686.698859615283
holt lineal alfa 0.5 beta 0.3,521.2167585150411,1259.7477373102809,2408.731929491524,1597.980056109093
holt lineal alfa 0.5 beta 0.4,777.9912385071023,1689.364275998228,2128.9771543660363,1632.152540667828
holt lineal alfa 0.5 beta 0.5,1034.4452228365594,2444.4406787268176,1774.697793442421,1843.4496113639052
holt lineal alfa 0.5 beta 0.6,1255.4167111969964,3307.7365964748446,1289.4981829472367,2174.0897002527972
holt lineal alfa 0.5 beta 0.7,1425.0671409764175,4142.065532049298,720.8962414912347,2563.0200037636405
holt lineal alfa 0.5 beta 0.8,1540.4984888844267,4895.329153120913,438.85247448360826,2973.7728340729677
holt lineal alfa 0.5 beta 0.9,1607.3573809053744,5566.859566687824,853.0165692769483,3381.378439464974
holt lineal alfa 0.6 beta 0.1,234.97676345024402,1252.5624392009454,2220.952467646011,1478.3725970360651
holt lineal alfa 0.6 beta 0.2,392.853317682688,1253.9972077430436,2393.614350123577,1576.5185677476345
holt lineal alfa 0.6 beta 0.3,622.7399215900392,1562.232540554587,2028.9980089189473,1521.5352379429864
holt lineal alfa 0.6 beta 0.4,875.6015634722714,2248.706606646625,1572.9740325365742,1663.0901767258079
holt lineal alfa 0.6 beta 0.5,1100.8738685602477,3124.134994973003,1036.847642978693,2003.929121837417
holt lineal alfa 0.6 beta 0.6,1274.9474512081706,4012.2980219318415,523.9202454805483,2449.3889607930637
holt lineal alfa 0.6 beta 0.7,1393.7045229319817,4836.405479130763,615.4288313328561,2927.5691225681226
holt lineal alfa 0.6 beta 0.8,1463.9562657743527,5577.880916306034,1166.2835585201651,3396.8682048550486
holt lineal alfa 0.6 beta 0.9,1496.842760555165,6238.99778460524,1721.0376178903653,3835.2575788478343
holt lineal alfa 0.7 beta 0.1,255.87796926740563,1317.8572151927247,2053.7672796992147,1416.5899446623039
holt lineal alfa 0.7 beta 0.2,446.65099037171353,1419.525911448133,2087.639836743716,1480.1791567725863
holt lineal alfa 0.7 beta 0.3,684.7772637828573,1919.3457742602839,1582.3117677637044,1489.5769681991646
holt lineal alfa 0.7 beta 0.4,920.7147608250153,2743.0130548732336,979.966375801525,1763.7243159204932
holt lineal alfa 0.7 beta 0.5,1114.1803793452168,3672.6106054061584,486.75220010889484,2233.561750580635
holt lineal alfa 0.7 beta 0.6,1252.400909281744,4574.32580300213,832.6479471620569,2780.0639796890773
holt lineal alfa 0.7 beta 0.7,1339.1193982613468,5399.539865692312,1575.5026915527442,3338.1871454973043
holt lineal alfa 0.7 beta 0.8,1384.639163347162,6140.132371241392,2372.578658378348,3883.6229064810764
holt lineal alfa 0.7 beta 0.9,1399.7835300726192,6803.40738242545,3211.354164675221,4418.089387705979
holt lineal alfa 0.8 beta 0.1,274.7894635076557,1397.5590696856307,1863.3271052818034,1354.0886854010284
holt lineal alfa 0.8 beta 0.2,484.8533340807722,1615.9480667183382,1738.8568040601729,1398.808289810334
holt lineal alfa 0.8 beta 0.3,720.9410081520446,2261.377587879934,1086.0508446272718,1506.9938032737632
holt lineal alfa 0.8 beta 0.4,938.2835552295321,3171.9644396252265,514.7021229360125,1932.7573318634688
