Simulacion,RMSE (1),RMSE (2),RMSE (3),RMSE (General)
holt exp alfa 0.1 beta 0.1,408.2470567884069,1124.9358635269518,2059.1775316445583,1375.0586003579751
holt exp alfa 0.1 beta 0.2,477.5804533701345,1377.6517641078594,6347.636717370311,3760.2526230870203
holt exp alfa 0.1 beta 0.3,412.96242978402614,934.1168587597289,7382.021063051705,4302.609566668863
holt exp alfa 0.1 beta 0.4,241.31100759210844,1592.5909231766946,8729.227076222842,5124.905924314836
holt exp alfa 0.1 beta 0.5,506.39258425732464,3053.2043874139263,7051.516858902034,4446.061196613398
holt exp alfa 0.1 beta 0.6,558.2416743296246,4896.604082539262,3753.93199099533,3576.794221138843
holt exp alfa 0.1 beta 0.7,492.1135718836387,8147.57075294239,1440.7889323935156,4785.427800087189
holt exp alfa 0.1 beta 0.8,425.26476430815296,13095.042944984063,358.54606706525607,7567.244217303657
holt exp alfa 0.1 beta 0.9,408.2107878215714,16170.115343008125,1085.2805383355403,9359.791666135356
holt exp alfa 0.2 beta 0.1,330.28749975393237,1031.7140476962732,3364.307870094195,2040.5955955296702
holt exp alfa 0.2 beta 0.2,244.32575530847734,1412.4597930951265,5153.082485979321,3088.0952516140756
holt exp alfa 0.2 beta 0.3,238.94288034741155,3101.6890465162246,4203.410350107896,3019.1735741612933
holt exp alfa 0.2 beta 0.4,243.5121383146132,4981.021821519933,2734.6244487439917,3283.699510391325
holt exp alfa 0.2 beta 0.5,260.0448027746358,5661.624855181193,2205.608439035368,3511.23567454534
holt exp alfa 0.2 beta 0.6,447.71538786333167,4757.328708864935,2531.8592364102365,3122.1219656784683
holt exp alfa 0.2 beta 0.7,834.205506023175,3226.1126725220465,2944.204665624649,2567.232161633269
holt exp alfa 0.2 beta 0.8,1360.4382805936837,1949.6080992986417,3107.3570364565194,2258.8663682011975
holt exp alfa 0.2 beta 0.9,1990.0988446799267,1359.6603919270713,3332.8317450072145,2374.6534647887393
holt exp alfa 0.3 beta 0.1,318.1419845264349,1132.1102449656,3290.2025411547347,2017.2853616428488
holt exp alfa 0.3 beta 0.2,288.0120920816249,1913.2851823109966,4037.0466649826826,2584.6570971332517
holt exp alfa 0.3 beta 0.3,350.2556354333268,2826.3310799599476,3307.654492818079,2520.013533532442
holt exp alfa 0.3 beta 0.4,614.4043985690014,2690.979611482749,2968.3880928972244,2340.241576166216
holt exp alfa 0.3 beta 0.5,1091.9876682648853,1815.0827007582884,3038.404013076721,2138.44657207947
holt exp alfa 0.3 beta 0.6,1746.2858568551442,1236.2007935571564,3251.948495342587,2247.433774493668
holt exp alfa 0.3 beta 0.7,2540.421049253607,1630.329440005694,3540.9469680365232,2686.3865830570703
holt exp alfa 0.3 beta 0.8,3443.532464841594,2429.7186574733964,3771.311270655497,3265.1818372573334
holt exp alfa 0.3 beta 0.9,4416.256772791623,3242.9564130514395,3694.417133480014,3815.2679301428716
holt exp alfa 0.4 beta 0.1,358.0511656978503,1147.6037577599934,3105.6884931091395,1922.714750755033
holt exp alfa 0.4 beta 0.2,443.51556687185007,1613.2999822863067,3585.703785983453,2284.492250787085
holt exp alfa 0.4 beta 0.3,711.8772535353493,1651.854489234793,3151.2375358801687,2094.8898527326196
