Date,bitcoin,holt_1_lineal,holt_1_exp,holt_2_lineal,holt_2_exp,holt_5_lineal,holt_5_exp,holt_7_lineal,holt_7_exp
2018-04-26,9281.51,9284.933958688514,9329.809301511928,9314.485976211343,9356.632663225802,8714.21931171035,8744.37108864017,8223.800769795129,8248.140214353683
2018-04-27,8987.05,9394.87582766188,9441.835480795173,9284.933958688514,9329.809301511928,8841.362364689905,8874.673524374322,8496.459551237689,8523.141611167699
2018-04-28,9348.48,9371.262361113377,9418.152046580572,9394.87582766188,9441.835480795173,8971.574030834896,9007.793765633178,8714.21931171035,8744.37108864017
2018-04-29,9419.08,9462.478463696025,9509.004790569983,9371.262361113377,9418.152046580572,9314.485976211343,9356.632663225802,8841.362364689905,8874.673524374322
2018-04-30,9240.55,9546.207781592999,9592.067817550736,9462.478463696025,9509.004790569983,9284.933958688514,9329.809301511928,8971.574030834896,9007.793765633178
2018-05-01,9119.01,9542.08957067309,9586.155513571246,9546.207781592999,9592.067817550736,9394.87582766188,9441.835480795173,9314.485976211343,9356.632663225802
2018-05-02,9235.92,9490.052435908961,9531.174491475907,9542.08957067309,9586.155513571246,9371.262361113377,9418.152046580572,9284.933958688514,9329.809301511928
2018-05-03,9743.86,9481.075468496801,9518.87556523036,9490.052435908961,9531.174491475907,9462.478463696025,9509.004790569983,9394.87582766188,9441.835480795173
2018-05-04,9700.76,9635.057127253385,9670.662016128737,9481.075468496801,9518.87556523036,9546.207781592999,9592.067817550736,9371.262361113377,9418.152046580572
2018-05-05,9858.15,9731.885374565392,9765.714810519292,9635.057127253385,9670.662016128737,9542.08957067309,9586.155513571246,9462.478463696025,9509.004790569983
2018-05-06,9654.8,9850.670086446835,9883.285341910374,9731.885374565392,9765.714810519292,9490.052435908961,9531.174491475907,9546.207781592999,9592.067817550736
2018-05-07,9373.01,9866.93828217044,9897.905592911871,9850.670086446835,9883.285341910374,9481.075468496801,9518.87556523036,9542.08957067309,9586.155513571246
2018-05-08,9234.82,9778.971170711851,9807.345503078053,9866.93828217044,9897.905592911871,9635.057127253385,9670.662016128737,9490.052435908961,9531.174491475907
2018-05-09,9325.18,9659.612657569483,9684.785335678758,9778.971170711851,9807.345503078053,9731.885374565392,9765.714810519292,9481.075468496801,9518.87556523036
2018-05-10,9043.94,9593.13671864274,9615.079132147179,9659.612657569483,9684.785335678758,9850.670086446835,9883.285341910374,9635.057127253385,9670.662016128737
2018-05-11,8441.49,9445.755659834738,9464.486038609202,9593.13671864274,9615.079132147179,9866.93828217044,9897.905592911871,9731.885374565392,9765.714810519292
2018-05-12,8504.89,9131.725948874095,9147.947216578223,9445.755659834738,9464.486038609202,9778.971170711851,9807.345503078053,9850.670086446835,9883.285341910374
2018-05-13,8723.94,8912.12007273542,8926.738267118364,9131.725948874095,9147.947216578223,9659.612657569483,9684.785335678758,9866.93828217044,9897.905592911871
2018-05-14,8716.79,8818.465557256288,8831.86520325208,8912.12007273542,8926.738267118364,9593.13671864274,9615.079132147179,9778.971170711851,9807.345503078053
2018-05-15,8510.38,8747.712129703206,8760.146664166765,8818.465557256288,8831.86520325208,9445.755659834738,9464.486038609202,9659.612657569483,9684.785335678758
2018-05-16,8368.83,8629.141766524952,8641.097267440975,8747.712129703206,8760.146664166765,9131.725948874095,9147.947216578223,9593.13671864274,9615.079132147179
2018-05-17,8094.32,8495.868159304424,8507.887020091777,8629.141766524952,8641.097267440975,8912.12007273542,8926.738267118364,9445.755659834738,9464.486038609202
2018-05-18,8250.97,8308.177189470922,8321.19153336829,8495.868159304424,8507.887020091777,8818.465557256288,8831.86520325208,9131.725948874095,9147.947216578223
2018-05-19,8247.18,8222.072294903342,8236.039237115869,8308.177189470922,8321.19153336829,8747.712129703206,8760.146664166765,8912.12007273542,8926.738267118364
2018-05-20,8513.25,8161.415099858938,8176.096412218122,8222.072294903342,8236.039237115869,8629.141766524952,8641.097267440975,8818.465557256288,8831.86520325208
2018-05-21,8418.99,8209.331110332087,8223.827717352233,8161.415099858938,8176.096412218122,8495.868159304424,8507.887020091777,8747.712129703206,8760.146664166765
2018-05-22,8041.78,8220.884084353327,8234.787000660532,8209.331110332087,8223.827717352233,8308.177189470922,8321.19153336829,8629.141766524952,8641.097267440975
2018-05-23,7557.82,8110.435043637596,8124.1851778077025,8220.884084353327,8234.787000660532,8222.072294903342,8236.039237115869,8495.868159304424,8507.887020091777
2018-05-24,7587.34,7871.3542638274575,7886.482220506846,8110.435043637596,8124.1851778077025,8161.415099858938,8176.096412218122,8308.177189470922,8321.19153336829
2018-05-25,7480.14,7704.333290045535,7721.492283337794,7871.3542638274575,7886.482220506846,8209.331110332087,8223.827717352233,8222.072294903342,8236.039237115869
