Date,bitcoin,holt_1_lineal,holt_2_lineal,holt_5_lineal,holt_7_lineal
2018-04-26,9281.51,8887.966461900556,9935.754134679733,8752.827524620552,8450.593361779356
2018-04-27,8987.05,9284.53942638366,8887.966461900556,8818.254569495368,8947.654402751314
2018-04-28,9348.48,9059.568581195777,9284.53942638366,9016.472634842154,8752.827524620552
2018-04-29,9419.08,9425.757368582286,9059.568581195777,9935.754134679733,8818.254569495368
2018-04-30,9240.55,9502.860345924546,9425.757368582286,8887.966461900556,9016.472634842154
2018-05-01,9119.01,9279.975539137433,9502.860345924546,9284.53942638366,9935.754134679733
2018-05-02,9235.92,9151.516706173818,9279.975539137433,9059.568581195777,8887.966461900556
2018-05-03,9743.86,9232.253143048516,9151.516706173818,9425.757368582286,9284.53942638366
2018-05-04,9700.76,9847.09586057741,9232.253143048516,9502.860345924546,9059.568581195777
2018-05-05,9858.15,9700.901162645278,9847.09586057741,9279.975539137433,9425.757368582286
2018-05-06,9654.8,9688.288536198757,9700.901162645278,9151.516706173818,9502.860345924546
2018-05-07,9373.01,9971.896182118464,9688.288536198757,9232.253143048516,9279.975539137433
2018-05-08,9234.82,9286.545655054479,9971.896182118464,9847.09586057741,9151.516706173818
2018-05-09,9325.18,9221.92415645779,9286.545655054479,9700.901162645278,9232.253143048516
2018-05-10,9043.94,9534.105786471857,9221.92415645779,9688.288536198757,9847.09586057741
2018-05-11,8441.49,8954.395073549285,9534.105786471857,9971.896182118464,9700.901162645278
2018-05-12,8504.89,8390.120551529179,8954.395073549285,9286.545655054479,9688.288536198757
2018-05-13,8723.94,8662.843981775626,8390.120551529179,9221.92415645779,9971.896182118464
2018-05-14,8716.79,8497.148194604511,8662.843981775626,9534.105786471857,9286.545655054479
2018-05-15,8510.38,8887.309581394456,8497.148194604511,8954.395073549285,9221.92415645779
2018-05-16,8368.83,8257.643779992963,8887.309581394456,8390.120551529179,9534.105786471857
2018-05-17,8094.32,8373.276893075987,8257.643779992963,8662.843981775626,8954.395073549285
2018-05-18,8250.97,8136.779285748805,8373.276893075987,8497.148194604511,8390.120551529179
2018-05-19,8247.18,8081.9509070528975,8136.779285748805,8887.309581394456,8662.843981775626
2018-05-20,8513.25,8323.207138686346,8081.9509070528975,8257.643779992963,8497.148194604511
2018-05-21,8418.99,8464.70079143945,8323.207138686346,8373.276893075987,8887.309581394456
2018-05-22,8041.78,8312.010243454273,8464.70079143945,8136.779285748805,8257.643779992963
2018-05-23,7557.82,7997.219678337798,8312.010243454273,8081.9509070528975,8373.276893075987
2018-05-24,7587.34,7557.322968233716,7997.219678337798,8323.207138686346,8136.779285748805
2018-05-25,7480.14,7623.293408643811,7557.322968233716,8464.70079143945,8081.9509070528975
