Date,bitcoin,naive_1,naive_2,naive_5,naive_7
2018-04-26,9281.51,8845.74,9697.5,8895.58,8294.31
2018-04-27,8987.05,9281.51,8845.74,8802.46,8845.83
2018-04-28,9348.48,8987.05,9281.51,8930.88,8895.58
2018-04-29,9419.08,9348.48,8987.05,9697.5,8802.46
2018-04-30,9240.55,9419.08,9348.48,8845.74,8930.88
2018-05-01,9119.01,9240.55,9419.08,9281.51,9697.5
2018-05-02,9235.92,9119.01,9240.55,8987.05,8845.74
2018-05-03,9743.86,9235.92,9119.01,9348.48,9281.51
2018-05-04,9700.76,9743.86,9235.92,9419.08,8987.05
2018-05-05,9858.15,9700.76,9743.86,9240.55,9348.48
2018-05-06,9654.8,9858.15,9700.76,9119.01,9419.08
2018-05-07,9373.01,9654.8,9858.15,9235.92,9240.55
2018-05-08,9234.82,9373.01,9654.8,9743.86,9119.01
2018-05-09,9325.18,9234.82,9373.01,9700.76,9235.92
2018-05-10,9043.94,9325.18,9234.82,9858.15,9743.86
2018-05-11,8441.49,9043.94,9325.18,9654.8,9700.76
2018-05-12,8504.89,8441.49,9043.94,9373.01,9858.15
2018-05-13,8723.94,8504.89,8441.49,9234.82,9654.8
2018-05-14,8716.79,8723.94,8504.89,9325.18,9373.01
2018-05-15,8510.38,8716.79,8723.94,9043.94,9234.82
2018-05-16,8368.83,8510.38,8716.79,8441.49,9325.18
2018-05-17,8094.32,8368.83,8510.38,8504.89,9043.94
2018-05-18,8250.97,8094.32,8368.83,8723.94,8441.49
2018-05-19,8247.18,8250.97,8094.32,8716.79,8504.89
2018-05-20,8513.25,8247.18,8250.97,8510.38,8723.94
2018-05-21,8418.99,8513.25,8247.18,8368.83,8716.79
2018-05-22,8041.78,8418.99,8513.25,8094.32,8510.38
2018-05-23,7557.82,8041.78,8418.99,8250.97,8368.83
2018-05-24,7587.34,7557.82,8041.78,8247.18,8094.32
2018-05-25,7480.14,7587.34,7557.82,8513.25,8250.97
