Date,augur
2015-01-04,14
2015-01-11,16
2015-01-18,15
2015-01-25,16
2015-02-01,20
2015-02-08,15
2015-02-15,15
2015-02-22,16
2015-03-01,18
2015-03-08,16
2015-03-15,18
2015-03-22,16
2015-03-29,22
2015-04-05,20
2015-04-12,17
2015-04-19,23
2015-04-26,20
2015-05-03,16
2015-05-10,18
2015-05-17,21
2015-05-24,14
2015-05-31,23
2015-06-07,17
2015-06-14,18
2015-06-21,16
2015-06-28,18
2015-07-05,12
2015-07-12,21
2015-07-19,20
2015-07-26,17
2015-08-02,19
2015-08-09,19
2015-08-16,28
2015-08-23,21
2015-08-30,18
2015-09-06,18
2015-09-13,15
2015-09-20,18
2015-09-27,19
2015-10-04,17
2015-10-11,17
2015-10-18,13
2015-10-25,21
2015-11-01,17
2015-11-08,19
2015-11-15,15
2015-11-22,17
2015-11-29,21
2015-12-06,20
2015-12-13,17
2015-12-20,18
2015-12-27,16
2016-01-03,24
2016-01-10,19
2016-01-17,21
2016-01-24,19
2016-01-31,17
2016-02-07,18
2016-02-14,19
2016-02-21,24
2016-02-28,19
2016-03-06,18
2016-03-13,24
2016-03-20,17
2016-03-27,15
2016-04-03,20
2016-04-10,19
2016-04-17,17
2016-04-24,36
2016-05-01,17
2016-05-08,14
2016-05-15,21
2016-05-22,18
2016-05-29,16
2016-06-05,15
2016-06-12,14
2016-06-19,15
2016-06-26,18
2016-07-03,14
2016-07-10,17
2016-07-17,12
2016-07-24,18
2016-07-31,15
2016-08-07,16
2016-08-14,20
2016-08-21,20
2016-08-28,18
2016-09-04,16
2016-09-11,15
2016-09-18,23
2016-09-25,19
2016-10-02,38
2016-10-09,19
2016-10-16,22
2016-10-23,21
2016-10-30,24
2016-11-06,21
2016-11-13,25
2016-11-20,16
2016-11-27,19
2016-12-04,18
2016-12-11,22
2016-12-18,21
2016-12-25,27
2017-01-01,20
2017-01-08,17
2017-01-15,34
2017-01-22,28
2017-01-29,38
2017-02-05,29
2017-02-12,28
2017-02-19,21
2017-02-26,24
2017-03-05,25
2017-03-12,26
2017-03-19,31
2017-03-26,29
2017-04-02,23
2017-04-09,23
2017-04-16,25
2017-04-23,26
2017-04-30,35
2017-05-07,28
2017-05-14,26
2017-05-21,48
2017-05-28,32
2017-06-04,34
2017-06-11,34
2017-06-18,31
2017-06-25,34
2017-07-02,28
2017-07-09,28
2017-07-16,21
2017-07-23,27
2017-07-30,22
2017-08-06,26
2017-08-13,28
2017-08-20,31
2017-08-27,34
2017-09-03,25
2017-09-10,24
2017-09-17,27
2017-09-24,26
2017-10-01,19
2017-10-08,23
2017-10-15,27
2017-10-22,24
2017-10-29,22
2017-11-05,24
2017-11-12,30
2017-11-19,36
2017-11-26,38
2017-12-03,38
2017-12-10,52
2017-12-17,100
2017-12-24,69
2017-12-31,52
2018-01-07,60
2018-01-14,46
2018-01-21,54
2018-01-28,43
2018-02-04,35
2018-02-11,31
2018-02-18,25
2018-02-25,33
2018-03-04,26
2018-03-11,26
2018-03-18,27
2018-03-25,26
2018-04-01,26
2018-04-08,24
2018-04-15,28
2018-04-22,27
2018-04-29,25
2018-05-06,42
2018-05-13,50
2018-05-20,28
2018-05-27,29
