Date,dash
2015-01-04,64
2015-01-11,58
2015-01-18,59
2015-01-25,55
2015-02-01,58
2015-02-08,58
2015-02-15,62
2015-02-22,61
2015-03-01,59
2015-03-08,61
2015-03-15,60
2015-03-22,63
2015-03-29,70
2015-04-05,66
2015-04-12,63
2015-04-19,61
2015-04-26,64
2015-05-03,57
2015-05-10,62
2015-05-17,59
2015-05-24,59
2015-05-31,64
2015-06-07,62
2015-06-14,62
2015-06-21,63
2015-06-28,60
2015-07-05,67
2015-07-12,66
2015-07-19,65
2015-07-26,62
2015-08-02,62
2015-08-09,62
2015-08-16,62
2015-08-23,65
2015-08-30,69
2015-09-06,67
2015-09-13,65
2015-09-20,71
2015-09-27,68
2015-10-04,72
2015-10-11,66
2015-10-18,66
2015-10-25,69
2015-11-01,68
2015-11-08,68
2015-11-15,64
2015-11-22,66
2015-11-29,64
2015-12-06,74
2015-12-13,63
2015-12-20,70
2015-12-27,71
2016-01-03,65
2016-01-10,60
2016-01-17,100
2016-01-24,81
2016-01-31,68
2016-02-07,66
2016-02-14,62
2016-02-21,64
2016-02-28,98
2016-03-06,62
2016-03-13,61
2016-03-20,65
2016-03-27,59
2016-04-03,59
2016-04-10,57
2016-04-17,57
2016-04-24,61
2016-05-01,58
2016-05-08,55
2016-05-15,58
2016-05-22,56
2016-05-29,57
2016-06-05,58
2016-06-12,54
2016-06-19,55
2016-06-26,60
2016-07-03,59
2016-07-10,60
2016-07-17,54
2016-07-24,56
2016-07-31,55
2016-08-07,55
2016-08-14,62
2016-08-21,52
2016-08-28,56
2016-09-04,53
2016-09-11,51
2016-09-18,51
2016-09-25,50
2016-10-02,49
2016-10-09,51
2016-10-16,50
2016-10-23,52
2016-10-30,50
2016-11-06,51
2016-11-13,51
2016-11-20,53
2016-11-27,54
2016-12-04,55
2016-12-11,53
2016-12-18,60
2016-12-25,64
2017-01-01,63
2017-01-08,56
2017-01-15,62
2017-01-22,68
2017-01-29,61
2017-02-05,60
2017-02-12,60
2017-02-19,60
2017-02-26,66
2017-03-05,64
2017-03-12,61
2017-03-19,60
2017-03-26,57
2017-04-02,56
2017-04-09,56
2017-04-16,53
2017-04-23,55
2017-04-30,55
2017-05-07,51
2017-05-14,53
2017-05-21,52
2017-05-28,51
2017-06-04,50
2017-06-11,49
2017-06-18,54
2017-06-25,50
2017-07-02,50
2017-07-09,52
2017-07-16,51
2017-07-23,52
2017-07-30,52
2017-08-06,51
2017-08-13,51
2017-08-20,51
2017-08-27,50
2017-09-03,48
2017-09-10,47
2017-09-17,56
2017-09-24,56
2017-10-01,53
2017-10-08,53
2017-10-15,54
2017-10-22,54
2017-10-29,55
2017-11-05,56
2017-11-12,63
2017-11-19,63
2017-11-26,63
2017-12-03,62
2017-12-10,64
2017-12-17,64
2017-12-24,62
2017-12-31,67
2018-01-07,64
2018-01-14,58
2018-01-21,58
2018-01-28,56
2018-02-04,56
2018-02-11,56
2018-02-18,56
2018-02-25,70
2018-03-04,62
2018-03-11,59
2018-03-18,55
2018-03-25,58
2018-04-01,53
2018-04-08,52
2018-04-15,53
2018-04-22,53
2018-04-29,52
2018-05-06,51
2018-05-13,52
2018-05-20,50
2018-05-27,50
