Date,ethereum classic
2015-01-04,0
2015-01-11,0
2015-01-18,0
2015-01-25,0
2015-02-01,0
2015-02-08,0
2015-02-15,0
2015-02-22,0
2015-03-01,0
2015-03-08,0
2015-03-15,0
2015-03-22,0
2015-03-29,0
2015-04-05,0
2015-04-12,0
2015-04-19,0
2015-04-26,0
2015-05-03,0
2015-05-10,0
2015-05-17,0
2015-05-24,0
2015-05-31,0
2015-06-07,0
2015-06-14,0
2015-06-21,0
2015-06-28,0
2015-07-05,0
2015-07-12,0
2015-07-19,0
2015-07-26,0
2015-08-02,0
2015-08-09,0
2015-08-16,0
2015-08-23,0
2015-08-30,0
2015-09-06,0
2015-09-13,0
2015-09-20,0
2015-09-27,0
2015-10-04,0
2015-10-11,0
2015-10-18,0
2015-10-25,0
2015-11-01,0
2015-11-08,0
2015-11-15,0
2015-11-22,0
2015-11-29,0
2015-12-06,0
2015-12-13,0
2015-12-20,0
2015-12-27,0
2016-01-03,0
2016-01-10,0
2016-01-17,0
2016-01-24,0
2016-01-31,0
2016-02-07,0
2016-02-14,0
2016-02-21,0
2016-02-28,0
2016-03-06,0
2016-03-13,0
2016-03-20,0
2016-03-27,0
2016-04-03,0
2016-04-10,0
2016-04-17,0
2016-04-24,0
2016-05-01,0
2016-05-08,0
2016-05-15,0
2016-05-22,0
2016-05-29,<1
2016-06-05,0
2016-06-12,0
2016-06-19,0
2016-06-26,0
2016-07-03,0
2016-07-10,0
2016-07-17,4
2016-07-24,59
2016-07-31,42
2016-08-07,19
2016-08-14,11
2016-08-21,8
2016-08-28,10
2016-09-04,6
2016-09-11,6
2016-09-18,5
2016-09-25,5
2016-10-02,3
2016-10-09,5
2016-10-16,4
2016-10-23,3
2016-10-30,3
2016-11-06,4
2016-11-13,3
2016-11-20,3
2016-11-27,2
2016-12-04,3
2016-12-11,5
2016-12-18,5
2016-12-25,5
2017-01-01,6
2017-01-08,5
2017-01-15,4
2017-01-22,4
2017-01-29,2
2017-02-05,2
2017-02-12,3
2017-02-19,3
2017-02-26,6
2017-03-05,5
2017-03-12,12
2017-03-19,14
2017-03-26,12
2017-04-02,10
2017-04-09,9
2017-04-16,10
2017-04-23,24
2017-04-30,21
2017-05-07,16
2017-05-14,21
2017-05-21,78
2017-05-28,51
2017-06-04,40
2017-06-11,59
2017-06-18,53
2017-06-25,51
2017-07-02,31
2017-07-09,36
2017-07-16,33
2017-07-23,23
2017-07-30,30
2017-08-06,23
2017-08-13,18
2017-08-20,29
2017-08-27,48
2017-09-03,22
2017-09-10,19
2017-09-17,14
2017-09-24,21
2017-10-01,9
2017-10-08,16
2017-10-15,19
2017-10-22,13
2017-10-29,20
2017-11-05,53
2017-11-12,52
2017-11-19,40
2017-11-26,100
2017-12-03,64
2017-12-10,100
2017-12-17,93
2017-12-24,64
2017-12-31,72
2018-01-07,80
2018-01-14,88
2018-01-21,44
2018-01-28,40
2018-02-04,38
2018-02-11,83
2018-02-18,70
2018-02-25,62
2018-03-04,57
2018-03-11,22
2018-03-18,19
2018-03-25,15
2018-04-01,15
2018-04-08,13
2018-04-15,16
2018-04-22,16
2018-04-29,17
2018-05-06,16
2018-05-13,13
2018-05-20,14
2018-05-27,16
