Date,ethereum
2015-01-04,<1
2015-01-11,<1
2015-01-18,<1
2015-01-25,<1
2015-02-01,<1
2015-02-08,<1
2015-02-15,<1
2015-02-22,<1
2015-03-01,<1
2015-03-08,<1
2015-03-15,<1
2015-03-22,<1
2015-03-29,<1
2015-04-05,<1
2015-04-12,<1
2015-04-19,<1
2015-04-26,<1
2015-05-03,<1
2015-05-10,<1
2015-05-17,<1
2015-05-24,<1
2015-05-31,<1
2015-06-07,<1
2015-06-14,<1
2015-06-21,<1
2015-06-28,<1
2015-07-05,<1
2015-07-12,<1
2015-07-19,<1
2015-07-26,1
2015-08-02,1
2015-08-09,1
2015-08-16,1
2015-08-23,1
2015-08-30,1
2015-09-06,1
2015-09-13,<1
2015-09-20,<1
2015-09-27,<1
2015-10-04,<1
2015-10-11,<1
2015-10-18,<1
2015-10-25,1
2015-11-01,1
2015-11-08,1
2015-11-15,1
2015-11-22,<1
2015-11-29,<1
2015-12-06,1
2015-12-13,1
2015-12-20,<1
2015-12-27,<1
2016-01-03,1
2016-01-10,1
2016-01-17,1
2016-01-24,2
2016-01-31,1
2016-02-07,3
2016-02-14,2
2016-02-21,2
2016-02-28,4
2016-03-06,4
2016-03-13,4
2016-03-20,3
2016-03-27,4
2016-04-03,3
2016-04-10,3
2016-04-17,2
2016-04-24,2
2016-05-01,3
2016-05-08,3
2016-05-15,5
2016-05-22,5
2016-05-29,4
2016-06-05,4
2016-06-12,8
2016-06-19,7
2016-06-26,4
2016-07-03,4
2016-07-10,3
2016-07-17,4
2016-07-24,6
2016-07-31,4
2016-08-07,3
2016-08-14,2
2016-08-21,3
2016-08-28,3
2016-09-04,2
2016-09-11,2
2016-09-18,3
2016-09-25,3
2016-10-02,3
2016-10-09,3
2016-10-16,3
2016-10-23,2
2016-10-30,2
2016-11-06,2
2016-11-13,2
2016-11-20,2
2016-11-27,3
2016-12-04,2
2016-12-11,2
2016-12-18,2
2016-12-25,2
2017-01-01,4
2017-01-08,3
2017-01-15,3
2017-01-22,2
2017-01-29,2
2017-02-05,3
2017-02-12,3
2017-02-19,3
2017-02-26,7
2017-03-05,5
2017-03-12,13
2017-03-19,11
2017-03-26,9
2017-04-02,7
2017-04-09,6
2017-04-16,6
2017-04-23,10
2017-04-30,17
2017-05-07,14
2017-05-14,15
2017-05-21,49
2017-05-28,39
2017-06-04,45
2017-06-11,73
2017-06-18,57
2017-06-25,54
2017-07-02,35
2017-07-09,41
2017-07-16,39
2017-07-23,27
2017-07-30,26
2017-08-06,32
2017-08-13,31
2017-08-20,28
2017-08-27,34
2017-09-03,31
2017-09-10,28
2017-09-17,23
2017-09-24,19
2017-10-01,18
2017-10-08,24
2017-10-15,28
2017-10-22,24
2017-10-29,28
2017-11-05,33
2017-11-12,29
2017-11-19,44
2017-11-26,68
2017-12-03,77
2017-12-10,99
2017-12-17,90
2017-12-24,57
2017-12-31,74
2018-01-07,100
2018-01-14,80
2018-01-21,47
2018-01-28,50
2018-02-04,45
2018-02-11,30
2018-02-18,27
2018-02-25,22
2018-03-04,22
2018-03-11,21
2018-03-18,21
2018-03-25,22
2018-04-01,17
2018-04-08,16
2018-04-15,16
2018-04-22,18
2018-04-29,19
2018-05-06,20
2018-05-13,15
2018-05-20,15
2018-05-27,14
