Date,litecoin
2015-01-04,1
2015-01-11,1
2015-01-18,1
2015-01-25,1
2015-02-01,1
2015-02-08,<1
2015-02-15,<1
2015-02-22,<1
2015-03-01,<1
2015-03-08,1
2015-03-15,1
2015-03-22,<1
2015-03-29,<1
2015-04-05,<1
2015-04-12,<1
2015-04-19,<1
2015-04-26,<1
2015-05-03,<1
2015-05-10,<1
2015-05-17,<1
2015-05-24,<1
2015-05-31,<1
2015-06-07,<1
2015-06-14,<1
2015-06-21,<1
2015-06-28,1
2015-07-05,1
2015-07-12,1
2015-07-19,1
2015-07-26,1
2015-08-02,<1
2015-08-09,<1
2015-08-16,1
2015-08-23,<1
2015-08-30,<1
2015-09-06,<1
2015-09-13,<1
2015-09-20,<1
2015-09-27,<1
2015-10-04,<1
2015-10-11,<1
2015-10-18,<1
2015-10-25,<1
2015-11-01,1
2015-11-08,<1
2015-11-15,<1
2015-11-22,<1
2015-11-29,<1
2015-12-06,<1
2015-12-13,<1
2015-12-20,<1
2015-12-27,<1
2016-01-03,1
2016-01-10,1
2016-01-17,<1
2016-01-24,<1
2016-01-31,<1
2016-02-07,<1
2016-02-14,<1
2016-02-21,<1
2016-02-28,<1
2016-03-06,<1
2016-03-13,<1
2016-03-20,<1
2016-03-27,<1
2016-04-03,<1
2016-04-10,<1
2016-04-17,<1
2016-04-24,<1
2016-05-01,<1
2016-05-08,<1
2016-05-15,<1
2016-05-22,<1
2016-05-29,<1
2016-06-05,<1
2016-06-12,1
2016-06-19,<1
2016-06-26,<1
2016-07-03,<1
2016-07-10,<1
2016-07-17,<1
2016-07-24,<1
2016-07-31,<1
2016-08-07,<1
2016-08-14,<1
2016-08-21,<1
2016-08-28,<1
2016-09-04,<1
2016-09-11,<1
2016-09-18,<1
2016-09-25,<1
2016-10-02,<1
2016-10-09,<1
2016-10-16,<1
2016-10-23,<1
2016-10-30,<1
2016-11-06,<1
2016-11-13,<1
2016-11-20,<1
2016-11-27,<1
2016-12-04,<1
2016-12-11,<1
2016-12-18,<1
2016-12-25,1
2017-01-01,1
2017-01-08,1
2017-01-15,1
2017-01-22,<1
2017-01-29,1
2017-02-05,<1
2017-02-12,<1
2017-02-19,<1
2017-02-26,<1
2017-03-05,1
2017-03-12,1
2017-03-19,1
2017-03-26,1
2017-04-02,2
2017-04-09,2
2017-04-16,2
2017-04-23,2
2017-04-30,3
2017-05-07,4
2017-05-14,3
2017-05-21,5
2017-05-28,3
2017-06-04,8
2017-06-11,8
2017-06-18,7
2017-06-25,4
2017-07-02,5
2017-07-09,4
2017-07-16,4
2017-07-23,3
2017-07-30,4
2017-08-06,4
2017-08-13,4
2017-08-20,5
2017-08-27,12
2017-09-03,8
2017-09-10,6
2017-09-17,4
2017-09-24,3
2017-10-01,3
2017-10-08,5
2017-10-15,5
2017-10-22,4
2017-10-29,5
2017-11-05,7
2017-11-12,7
2017-11-19,9
2017-11-26,22
2017-12-03,32
2017-12-10,100
2017-12-17,54
2017-12-24,28
2017-12-31,26
2018-01-07,22
2018-01-14,17
2018-01-21,11
2018-01-28,12
2018-02-04,12
2018-02-11,17
2018-02-18,17
2018-02-25,9
2018-03-04,7
2018-03-11,6
2018-03-18,5
2018-03-25,6
2018-04-01,5
2018-04-08,4
2018-04-15,5
2018-04-22,5
2018-04-29,4
2018-05-06,4
2018-05-13,3
2018-05-20,3
2018-05-27,3
