Date,monero
2015-01-04,1
2015-01-11,1
2015-01-18,1
2015-01-25,1
2015-02-01,1
2015-02-08,1
2015-02-15,1
2015-02-22,1
2015-03-01,1
2015-03-08,2
2015-03-15,2
2015-03-22,2
2015-03-29,1
2015-04-05,1
2015-04-12,1
2015-04-19,1
2015-04-26,1
2015-05-03,1
2015-05-10,1
2015-05-17,1
2015-05-24,1
2015-05-31,2
2015-06-07,1
2015-06-14,1
2015-06-21,1
2015-06-28,1
2015-07-05,1
2015-07-12,1
2015-07-19,1
2015-07-26,1
2015-08-02,1
2015-08-09,1
2015-08-16,1
2015-08-23,1
2015-08-30,1
2015-09-06,1
2015-09-13,1
2015-09-20,1
2015-09-27,1
2015-10-04,1
2015-10-11,1
2015-10-18,1
2015-10-25,1
2015-11-01,1
2015-11-08,1
2015-11-15,1
2015-11-22,1
2015-11-29,1
2015-12-06,1
2015-12-13,1
2015-12-20,1
2015-12-27,1
2016-01-03,1
2016-01-10,1
2016-01-17,1
2016-01-24,2
2016-01-31,1
2016-02-07,1
2016-02-14,2
2016-02-21,2
2016-02-28,1
2016-03-06,2
2016-03-13,1
2016-03-20,2
2016-03-27,2
2016-04-03,2
2016-04-10,1
2016-04-17,1
2016-04-24,1
2016-05-01,1
2016-05-08,1
2016-05-15,1
2016-05-22,2
2016-05-29,2
2016-06-05,2
2016-06-12,3
2016-06-19,2
2016-06-26,2
2016-07-03,2
2016-07-10,2
2016-07-17,1
2016-07-24,2
2016-07-31,2
2016-08-07,2
2016-08-14,2
2016-08-21,6
2016-08-28,11
2016-09-04,10
2016-09-11,6
2016-09-18,5
2016-09-25,4
2016-10-02,4
2016-10-09,3
2016-10-16,4
2016-10-23,4
2016-10-30,3
2016-11-06,3
2016-11-13,4
2016-11-20,4
2016-11-27,4
2016-12-04,3
2016-12-11,3
2016-12-18,4
2016-12-25,7
2017-01-01,10
2017-01-08,6
2017-01-15,6
2017-01-22,6
2017-01-29,6
2017-02-05,5
2017-02-12,5
2017-02-19,6
2017-02-26,5
2017-03-05,5
2017-03-12,8
2017-03-19,8
2017-03-26,6
2017-04-02,6
2017-04-09,6
2017-04-16,6
2017-04-23,5
2017-04-30,8
2017-05-07,8
2017-05-14,12
2017-05-21,19
2017-05-28,14
2017-06-04,17
2017-06-11,18
2017-06-18,16
2017-06-25,14
2017-07-02,13
2017-07-09,12
2017-07-16,12
2017-07-23,12
2017-07-30,13
2017-08-06,12
2017-08-13,13
2017-08-20,39
2017-08-27,39
2017-09-03,23
2017-09-10,22
2017-09-17,25
2017-09-24,21
2017-10-01,19
2017-10-08,20
2017-10-15,19
2017-10-22,17
2017-10-29,21
2017-11-05,32
2017-11-12,29
2017-11-19,34
2017-11-26,50
2017-12-03,89
2017-12-10,85
2017-12-17,100
2017-12-24,67
2017-12-31,81
2018-01-07,68
2018-01-14,53
2018-01-21,41
2018-01-28,38
2018-02-04,35
2018-02-11,30
2018-02-18,25
2018-02-25,25
2018-03-04,27
2018-03-11,24
2018-03-18,19
2018-03-25,17
2018-04-01,22
2018-04-08,27
2018-04-15,20
2018-04-22,20
2018-04-29,20
2018-05-06,15
2018-05-13,14
2018-05-20,14
2018-05-27,12
