Date,nem
2015-01-04,86
2015-01-11,87
2015-01-18,85
2015-01-25,86
2015-02-01,84
2015-02-08,82
2015-02-15,80
2015-02-22,82
2015-03-01,84
2015-03-08,89
2015-03-15,90
2015-03-22,84
2015-03-29,86
2015-04-05,87
2015-04-12,83
2015-04-19,81
2015-04-26,85
2015-05-03,85
2015-05-10,86
2015-05-17,84
2015-05-24,85
2015-05-31,84
2015-06-07,100
2015-06-14,95
2015-06-21,96
2015-06-28,85
2015-07-05,84
2015-07-12,83
2015-07-19,85
2015-07-26,86
2015-08-02,89
2015-08-09,82
2015-08-16,84
2015-08-23,82
2015-08-30,84
2015-09-06,80
2015-09-13,80
2015-09-20,82
2015-09-27,81
2015-10-04,83
2015-10-11,82
2015-10-18,85
2015-10-25,83
2015-11-01,80
2015-11-08,85
2015-11-15,81
2015-11-22,88
2015-11-29,79
2015-12-06,83
2015-12-13,84
2015-12-20,83
2015-12-27,92
2016-01-03,84
2016-01-10,82
2016-01-17,84
2016-01-24,82
2016-01-31,81
2016-02-07,80
2016-02-14,79
2016-02-21,81
2016-02-28,78
2016-03-06,79
2016-03-13,79
2016-03-20,83
2016-03-27,85
2016-04-03,88
2016-04-10,80
2016-04-17,82
2016-04-24,83
2016-05-01,81
2016-05-08,80
2016-05-15,85
2016-05-22,83
2016-05-29,83
2016-06-05,93
2016-06-12,90
2016-06-19,94
2016-06-26,85
2016-07-03,80
2016-07-10,76
2016-07-17,77
2016-07-24,77
2016-07-31,75
2016-08-07,72
2016-08-14,74
2016-08-21,74
2016-08-28,76
2016-09-04,75
2016-09-11,75
2016-09-18,75
2016-09-25,74
2016-10-02,73
2016-10-09,75
2016-10-16,76
2016-10-23,74
2016-10-30,77
2016-11-06,77
2016-11-13,76
2016-11-20,78
2016-11-27,80
2016-12-04,79
2016-12-11,77
2016-12-18,73
2016-12-25,82
2017-01-01,73
2017-01-08,75
2017-01-15,79
2017-01-22,78
2017-01-29,75
2017-02-05,77
2017-02-12,78
2017-02-19,77
2017-02-26,76
2017-03-05,75
2017-03-12,76
2017-03-19,78
2017-03-26,77
2017-04-02,75
2017-04-09,76
2017-04-16,74
2017-04-23,74
2017-04-30,74
2017-05-07,78
2017-05-14,79
2017-05-21,77
2017-05-28,92
2017-06-04,83
2017-06-11,85
2017-06-18,76
2017-06-25,78
2017-07-02,76
2017-07-09,71
2017-07-16,73
2017-07-23,73
2017-07-30,76
2017-08-06,80
2017-08-13,73
2017-08-20,77
2017-08-27,78
2017-09-03,74
2017-09-10,74
2017-09-17,79
2017-09-24,81
2017-10-01,73
2017-10-08,74
2017-10-15,76
2017-10-22,74
2017-10-29,78
2017-11-05,76
2017-11-12,78
2017-11-19,82
2017-11-26,80
2017-12-03,88
2017-12-10,84
2017-12-17,86
2017-12-24,85
2017-12-31,89
2018-01-07,84
2018-01-14,80
2018-01-21,88
2018-01-28,90
2018-02-04,80
2018-02-11,77
2018-02-18,78
2018-02-25,78
2018-03-04,79
2018-03-11,82
2018-03-18,78
2018-03-25,76
2018-04-01,75
2018-04-08,77
2018-04-15,81
2018-04-22,75
2018-04-29,72
2018-05-06,76
2018-05-13,77
2018-05-20,89
2018-05-27,88
