Date,ripple
2015-01-04,2
2015-01-11,2
2015-01-18,2
2015-01-25,2
2015-02-01,2
2015-02-08,2
2015-02-15,2
2015-02-22,2
2015-03-01,2
2015-03-08,2
2015-03-15,2
2015-03-22,2
2015-03-29,2
2015-04-05,2
2015-04-12,2
2015-04-19,2
2015-04-26,2
2015-05-03,2
2015-05-10,2
2015-05-17,2
2015-05-24,2
2015-05-31,2
2015-06-07,2
2015-06-14,2
2015-06-21,2
2015-06-28,2
2015-07-05,2
2015-07-12,2
2015-07-19,2
2015-07-26,2
2015-08-02,2
2015-08-09,2
2015-08-16,2
2015-08-23,2
2015-08-30,2
2015-09-06,2
2015-09-13,2
2015-09-20,2
2015-09-27,2
2015-10-04,2
2015-10-11,2
2015-10-18,2
2015-10-25,2
2015-11-01,2
2015-11-08,2
2015-11-15,2
2015-11-22,2
2015-11-29,2
2015-12-06,2
2015-12-13,2
2015-12-20,2
2015-12-27,2
2016-01-03,2
2016-01-10,2
2016-01-17,2
2016-01-24,2
2016-01-31,2
2016-02-07,2
2016-02-14,2
2016-02-21,2
2016-02-28,2
2016-03-06,2
2016-03-13,2
2016-03-20,2
2016-03-27,2
2016-04-03,2
2016-04-10,2
2016-04-17,2
2016-04-24,2
2016-05-01,2
2016-05-08,2
2016-05-15,2
2016-05-22,2
2016-05-29,2
2016-06-05,2
2016-06-12,2
2016-06-19,2
2016-06-26,2
2016-07-03,2
2016-07-10,2
2016-07-17,2
2016-07-24,2
2016-07-31,2
2016-08-07,2
2016-08-14,2
2016-08-21,2
2016-08-28,2
2016-09-04,2
2016-09-11,2
2016-09-18,2
2016-09-25,2
2016-10-02,2
2016-10-09,2
2016-10-16,2
2016-10-23,2
2016-10-30,2
2016-11-06,2
2016-11-13,2
2016-11-20,2
2016-11-27,2
2016-12-04,2
2016-12-11,2
2016-12-18,2
2016-12-25,2
2017-01-01,2
2017-01-08,2
2017-01-15,2
2017-01-22,2
2017-01-29,2
2017-02-05,2
2017-02-12,2
2017-02-19,2
2017-02-26,2
2017-03-05,2
2017-03-12,2
2017-03-19,2
2017-03-26,2
2017-04-02,3
2017-04-09,2
2017-04-16,2
2017-04-23,2
2017-04-30,3
2017-05-07,5
2017-05-14,6
2017-05-21,6
2017-05-28,5
2017-06-04,5
2017-06-11,5
2017-06-18,5
2017-06-25,4
2017-07-02,4
2017-07-09,4
2017-07-16,4
2017-07-23,4
2017-07-30,4
2017-08-06,4
2017-08-13,5
2017-08-20,8
2017-08-27,7
2017-09-03,5
2017-09-10,5
2017-09-17,4
2017-09-24,4
2017-10-01,5
2017-10-08,6
2017-10-15,8
2017-10-22,5
2017-10-29,5
2017-11-05,6
2017-11-12,7
2017-11-19,8
2017-11-26,13
2017-12-03,14
2017-12-10,53
2017-12-17,58
2017-12-24,71
2017-12-31,100
2018-01-07,72
2018-01-14,45
2018-01-21,25
2018-01-28,22
2018-02-04,21
2018-02-11,16
2018-02-18,13
2018-02-25,10
2018-03-04,13
2018-03-11,10
2018-03-18,9
2018-03-25,9
2018-04-01,8
2018-04-08,8
2018-04-15,10
2018-04-22,9
2018-04-29,8
2018-05-06,7
2018-05-13,6
2018-05-20,7
2018-05-27,6
