Date,tether
2015-01-04,31
2015-01-11,29
2015-01-18,29
2015-01-25,31
2015-02-01,31
2015-02-08,31
2015-02-15,32
2015-02-22,30
2015-03-01,32
2015-03-08,31
2015-03-15,30
2015-03-22,29
2015-03-29,28
2015-04-05,26
2015-04-12,29
2015-04-19,29
2015-04-26,28
2015-05-03,29
2015-05-10,29
2015-05-17,26
2015-05-24,29
2015-05-31,26
2015-06-07,29
2015-06-14,27
2015-06-21,28
2015-06-28,29
2015-07-05,25
2015-07-12,28
2015-07-19,28
2015-07-26,29
2015-08-02,30
2015-08-09,28
2015-08-16,31
2015-08-23,27
2015-08-30,26
2015-09-06,27
2015-09-13,27
2015-09-20,28
2015-09-27,26
2015-10-04,26
2015-10-11,27
2015-10-18,28
2015-10-25,27
2015-11-01,25
2015-11-08,24
2015-11-15,26
2015-11-22,26
2015-11-29,24
2015-12-06,27
2015-12-13,27
2015-12-20,29
2015-12-27,31
2016-01-03,27
2016-01-10,25
2016-01-17,26
2016-01-24,26
2016-01-31,26
2016-02-07,26
2016-02-14,25
2016-02-21,24
2016-02-28,22
2016-03-06,23
2016-03-13,24
2016-03-20,25
2016-03-27,22
2016-04-03,23
2016-04-10,24
2016-04-17,23
2016-04-24,24
2016-05-01,23
2016-05-08,22
2016-05-15,23
2016-05-22,24
2016-05-29,24
2016-06-05,24
2016-06-12,24
2016-06-19,23
2016-06-26,23
2016-07-03,23
2016-07-10,24
2016-07-17,25
2016-07-24,26
2016-07-31,26
2016-08-07,24
2016-08-14,23
2016-08-21,24
2016-08-28,25
2016-09-04,25
2016-09-11,24
2016-09-18,26
2016-09-25,24
2016-10-02,23
2016-10-09,23
2016-10-16,21
2016-10-23,23
2016-10-30,23
2016-11-06,20
2016-11-13,22
2016-11-20,23
2016-11-27,25
2016-12-04,26
2016-12-11,24
2016-12-18,24
2016-12-25,25
2017-01-01,24
2017-01-08,24
2017-01-15,23
2017-01-22,26
2017-01-29,26
2017-02-05,26
2017-02-12,25
2017-02-19,25
2017-02-26,24
2017-03-05,24
2017-03-12,25
2017-03-19,24
2017-03-26,26
2017-04-02,24
2017-04-09,25
2017-04-16,24
2017-04-23,26
2017-04-30,24
2017-05-07,24
2017-05-14,25
2017-05-21,27
2017-05-28,26
2017-06-04,26
2017-06-11,26
2017-06-18,26
2017-06-25,28
2017-07-02,28
2017-07-09,28
2017-07-16,26
2017-07-23,28
2017-07-30,26
2017-08-06,28
2017-08-13,26
2017-08-20,26
2017-08-27,27
2017-09-03,27
2017-09-10,29
2017-09-17,26
2017-09-24,25
2017-10-01,25
2017-10-08,24
2017-10-15,25
2017-10-22,25
2017-10-29,26
2017-11-05,27
2017-11-12,29
2017-11-19,46
2017-11-26,39
2017-12-03,43
2017-12-10,40
2017-12-17,46
2017-12-24,42
2017-12-31,40
2018-01-07,41
2018-01-14,59
2018-01-21,42
2018-01-28,100
2018-02-04,59
2018-02-11,38
2018-02-18,32
2018-02-25,27
2018-03-04,29
2018-03-11,27
2018-03-18,30
2018-03-25,29
2018-04-01,25
2018-04-08,27
2018-04-15,26
2018-04-22,25
2018-04-29,24
2018-05-06,24
2018-05-13,25
2018-05-20,26
2018-05-27,24
