Semana,Augur: (Todo el mundo)
2017-01-01,25
2017-01-08,18
2017-01-15,35
2017-01-22,36
2017-01-29,37
2017-02-05,30
2017-02-12,29
2017-02-19,25
2017-02-26,27
2017-03-05,29
2017-03-12,32
2017-03-19,37
2017-03-26,32
2017-04-02,27
2017-04-09,24
2017-04-16,30
2017-04-23,27
2017-04-30,34
2017-05-07,32
2017-05-14,29
2017-05-21,46
2017-05-28,34
2017-06-04,40
2017-06-11,33
2017-06-18,32
2017-06-25,36
2017-07-02,27
2017-07-09,29
2017-07-16,27
2017-07-23,26
2017-07-30,27
2017-08-06,31
2017-08-13,26
2017-08-20,39
2017-08-27,35
2017-09-03,29
2017-09-10,27
2017-09-17,25
2017-09-24,22
2017-10-01,20
2017-10-08,31
2017-10-15,29
2017-10-22,27
2017-10-29,29
2017-11-05,29
2017-11-12,34
2017-11-19,35
2017-11-26,35
2017-12-03,51
2017-12-10,54
2017-12-17,100
2017-12-24,72
2017-12-31,65
2018-01-07,70
2018-01-14,48
2018-01-21,54
2018-01-28,42
2018-02-04,38
2018-02-11,33
2018-02-18,31
2018-02-25,33
2018-03-04,31
2018-03-11,34
2018-03-18,28
2018-03-25,26
2018-04-01,27
2018-04-08,30
2018-04-15,29
2018-04-22,30
2018-04-29,32
2018-05-06,48
2018-05-13,51
2018-05-20,28
2018-05-27,29
