Semana,Dash: (Todo el mundo)
2017-01-01,92
2017-01-08,81
2017-01-15,90
2017-01-22,100
2017-01-29,88
2017-02-05,89
2017-02-12,87
2017-02-19,87
2017-02-26,97
2017-03-05,94
2017-03-12,89
2017-03-19,89
2017-03-26,83
2017-04-02,80
2017-04-09,82
2017-04-16,77
2017-04-23,79
2017-04-30,80
2017-05-07,75
2017-05-14,76
2017-05-21,76
2017-05-28,73
2017-06-04,71
2017-06-11,71
2017-06-18,77
2017-06-25,72
2017-07-02,72
2017-07-09,76
2017-07-16,74
2017-07-23,74
2017-07-30,76
2017-08-06,72
2017-08-13,75
2017-08-20,76
2017-08-27,72
2017-09-03,71
2017-09-10,69
2017-09-17,78
2017-09-24,81
2017-10-01,78
2017-10-08,78
2017-10-15,80
2017-10-22,80
2017-10-29,81
2017-11-05,80
2017-11-12,89
2017-11-19,87
2017-11-26,90
2017-12-03,91
2017-12-10,94
2017-12-17,95
2017-12-24,91
2017-12-31,97
2018-01-07,91
2018-01-14,83
2018-01-21,84
2018-01-28,82
2018-02-04,83
2018-02-11,85
2018-02-18,82
2018-02-25,98
2018-03-04,89
2018-03-11,85
2018-03-18,79
2018-03-25,83
2018-04-01,74
2018-04-08,75
2018-04-15,75
2018-04-22,78
2018-04-29,76
2018-05-06,75
2018-05-13,75
2018-05-20,73
2018-05-27,73
