Semana,Ethereum classic: (Todo el mundo)
2017-01-01,8
2017-01-08,2
2017-01-15,2
2017-01-22,3
2017-01-29,3
2017-02-05,4
2017-02-12,4
2017-02-19,3
2017-02-26,6
2017-03-05,4
2017-03-12,14
2017-03-19,13
2017-03-26,11
2017-04-02,8
2017-04-09,8
2017-04-16,11
2017-04-23,18
2017-04-30,28
2017-05-07,18
2017-05-14,15
2017-05-21,72
2017-05-28,42
2017-06-04,37
2017-06-11,75
2017-06-18,55
2017-06-25,48
2017-07-02,32
2017-07-09,37
2017-07-16,28
2017-07-23,24
2017-07-30,25
2017-08-06,22
2017-08-13,18
2017-08-20,23
2017-08-27,37
2017-09-03,24
2017-09-10,18
2017-09-17,14
2017-09-24,18
2017-10-01,14
2017-10-08,18
2017-10-15,18
2017-10-22,16
2017-10-29,23
2017-11-05,55
2017-11-12,49
2017-11-19,31
2017-11-26,96
2017-12-03,66
2017-12-10,84
2017-12-17,100
2017-12-24,59
2017-12-31,76
2018-01-07,89
2018-01-14,85
2018-01-21,40
2018-01-28,40
2018-02-04,35
2018-02-11,81
2018-02-18,83
2018-02-25,57
2018-03-04,61
2018-03-11,25
2018-03-18,15
2018-03-25,14
2018-04-01,13
2018-04-08,11
2018-04-15,13
2018-04-22,13
2018-04-29,17
2018-05-06,20
2018-05-13,12
2018-05-20,13
2018-05-27,11
