Semana,Monero: (Todo el mundo)
2017-01-01,10
2017-01-08,6
2017-01-15,6
2017-01-22,7
2017-01-29,6
2017-02-05,5
2017-02-12,5
2017-02-19,5
2017-02-26,5
2017-03-05,5
2017-03-12,9
2017-03-19,8
2017-03-26,7
2017-04-02,6
2017-04-09,6
2017-04-16,6
2017-04-23,6
2017-04-30,9
2017-05-07,9
2017-05-14,12
2017-05-21,18
2017-05-28,14
2017-06-04,17
2017-06-11,18
2017-06-18,16
2017-06-25,15
2017-07-02,13
2017-07-09,13
2017-07-16,12
2017-07-23,14
2017-07-30,13
2017-08-06,14
2017-08-13,14
2017-08-20,39
2017-08-27,40
2017-09-03,23
2017-09-10,23
2017-09-17,25
2017-09-24,22
2017-10-01,20
2017-10-08,19
2017-10-15,20
2017-10-22,19
2017-10-29,22
2017-11-05,32
2017-11-12,30
2017-11-19,34
2017-11-26,53
2017-12-03,88
2017-12-10,87
2017-12-17,100
2017-12-24,69
2017-12-31,79
2018-01-07,69
2018-01-14,53
2018-01-21,42
2018-01-28,40
2018-02-04,36
2018-02-11,30
2018-02-18,27
2018-02-25,27
2018-03-04,27
2018-03-11,24
2018-03-18,20
2018-03-25,18
2018-04-01,23
2018-04-08,27
2018-04-15,20
2018-04-22,21
2018-04-29,21
2018-05-06,16
2018-05-13,13
2018-05-20,15
2018-05-27,11
