Semana,Nem: (Todo el mundo)
2017-01-01,77
2017-01-08,83
2017-01-15,84
2017-01-22,84
2017-01-29,80
2017-02-05,81
2017-02-12,84
2017-02-19,78
2017-02-26,80
2017-03-05,82
2017-03-12,83
2017-03-19,83
2017-03-26,82
2017-04-02,80
2017-04-09,81
2017-04-16,79
2017-04-23,82
2017-04-30,81
2017-05-07,82
2017-05-14,83
2017-05-21,84
2017-05-28,100
2017-06-04,92
2017-06-11,90
2017-06-18,82
2017-06-25,83
2017-07-02,81
2017-07-09,77
2017-07-16,78
2017-07-23,78
2017-07-30,79
2017-08-06,84
2017-08-13,80
2017-08-20,83
2017-08-27,82
2017-09-03,80
2017-09-10,78
2017-09-17,86
2017-09-24,83
2017-10-01,79
2017-10-08,82
2017-10-15,83
2017-10-22,79
2017-10-29,84
2017-11-05,84
2017-11-12,86
2017-11-19,86
2017-11-26,85
2017-12-03,92
2017-12-10,94
2017-12-17,96
2017-12-24,92
2017-12-31,95
2018-01-07,89
2018-01-14,88
2018-01-21,95
2018-01-28,96
2018-02-04,83
2018-02-11,82
2018-02-18,87
2018-02-25,85
2018-03-04,87
2018-03-11,87
2018-03-18,85
2018-03-25,83
2018-04-01,81
2018-04-08,79
2018-04-15,82
2018-04-22,82
2018-04-29,78
2018-05-06,79
2018-05-13,84
2018-05-20,93
2018-05-27,100
