Simulacion,RMSE (1),RMSE (2),RMSE (3),RMSE (General)
Criptos Close ethereum,2060.321978795769,764.9949395977183,26.52837767961591,1268.9690919195448
Criptos Close dash,885.740614012932,123.90163239204037,27.40668413527999,516.6040315227608
Criptos Close litecoin,442.42191029524287,1475.5124685473893,452.1758127691231,926.8831564624745
Criptos Close monero,219.68588088914444,65.94558012151377,1504.6537873050636,878.7479208986451
Criptos Close ethereum-classic,22.079470897510237,454.9881310836918,16.632309204577535,263.17189323812767
Criptos Close iota,20.661861408224247,99.90428826760969,856.9953134737668,498.27995700111865
Criptos Close neo,133.2868760205507,2744.0040616410524,94.69457789423703,1587.0613036578516
Criptos Close eos,16.575155983066896,142.49415637047596,37.533243409179086,85.61165177008976
Criptos Close vechain,20.908572889176327,162.63525675287846,5377.5654118163275,3106.1818552430054
Criptos Close qtum,336.486192505908,116.87366056968233,24.666142496649268,206.14786672656862
Criptos Close omisego,16.06991273708935,49.87187292669433,80.09378620140708,55.258364050674786
Criptos Close binance-coin,13.46292647090521,295.33055636886286,4516.247184441433,2613.037186805772
Criptos Close lisk,25.447379183634325,157.88715637071834,1091.056687586509,636.6528668961846
Criptos Close zcash,14.821011910336356,150.58087679208583,30.875714982188544,89.15823503782663
