Simulacion,RMSE (1),RMSE (2),RMSE (3),RMSE (General)
Neuronas_n1,414.99817435424256,3305.7081973140544,589.5091793855433,1953.4116517080663
Neuronas_n2,184.32938753869567,1557.1464937424075,290.43229580489964,920.6942026773725
Neuronas_n4,134.52897321541312,1729.8496837804896,316.05452059649997,1018.2285979581299
Neuronas_n8,248.86978895250422,1473.3587413187715,604.6386736380678,930.6467425277435
Neuronas_n16,274.28014127243523,613.8294937012533,395.5679575229927,450.36661075649477
Neuronas_n32,318.8361190186923,759.559570216732,521.893317311091,563.0156439960035
Neuronas_n64,257.8558233275823,676.6157291239888,439.2006851588373,488.9429797586914
Neuronas_n128,244.12529308828488,540.2231571836757,391.5973880732035,410.19781107359023
Neuronas_n256,194.86890990322019,490.06184227049494,355.8752129825147,367.32441089213904
Neuronas_n512,160.50121232027502,493.1359680558459,327.31894309718587,354.06280641383063
Neuronas_n1024,124.01827034323884,538.3974409990852,310.9622721351154,366.0372797702103
Neuronas_n2048,125.40641020078148,563.2369669980299,297.4044184443223,374.79418210656723
