Simulacion,RMSE (1),RMSE (2),RMSE (3),RMSE (General)
Ventana chica_v0,160.68006739524247,510.76587029814226,323.7057545740464,361.24104319411214
Ventana chica_v1,161.1882166214113,651.5482309140787,416.04224961179995,455.91954401586537
Ventana chica_v2,207.63023699724553,805.003726141959,778.8489702218698,657.7099241138749
Ventana chica_v3,165.14177369402836,1149.2429169643062,1389.5751289264435,1045.4584523136855
Ventana chica_v4,493.71026611959337,2161.2817516018167,3030.1884491551004,2167.712363612224
Ventana grande_v10,172.58204522879257,1203.6984197077943,862.8299933308418,860.8426192465332
Ventana grande_v13,231.3741985764683,1561.7057388879275,788.7147007763308,1018.9095010292601
Ventana grande_v15,188.68993291688793,1546.7771586883823,706.1485814550092,987.7194757816625
Ventana grande_v21,223.55004810452326,1134.1322186164584,645.5245592586696,764.4022653719974
Ventana grande_v50,233.58011174089856,750.751935981335,423.54368215475216,515.6152922072226
Ventana extra grande_v60,169.11381735875102,829.5109573309497,716.2967212213806,640.2522691320606
Ventana extra grande_v70,204.5074829622867,589.0467724257195,972.5853220392933,667.013647871117
Ventana extra grande_v90,364.68219065700936,612.5794499370552,354.99755020488715,459.807910370933
Ventana extra grande_v120,195.45391326231442,656.1575993377654,850.6068828815174,630.4170832561736
