Simulacion,RMSE (1),RMSE (2),RMSE (3),RMSE (General)
Criptos Close ethereum,2163.508177020207,799.6911311452454,310.08679966366145,1343.6799421230378
Criptos Close dash,994.8278096684884,577.5977014375286,307.02263776420756,687.4019628755339
Criptos Close litecoin,554.4907996485578,1394.3896100687105,700.2036130748194,956.0452449763206
Criptos Close monero,342.10959017223075,548.6180235946873,1696.030401462456,1047.9408110171194
Criptos Close ethereum-classic,146.3996547061809,616.6888009702163,314.33077196825354,408.46940740049325
Criptos Close iota,175.01937996692922,523.0201238249605,1080.7751179007867,700.5371007932282
Criptos Close neo,164.63708281608976,2647.7886766019064,276.1774833067227,1539.9311940543644
Criptos Close eos,172.0017286257941,480.1893358403033,304.0244830988125,342.8300255367145
Criptos Close vechain,175.10212161138145,479.0247852003385,5586.777100185942,3238.940354755501
Criptos Close qtum,265.73057509900633,479.71798816410546,309.47621375998165,363.5554123715206
Criptos Close omisego,171.66653136573055,491.7798477357883,283.152890325818,342.2924558181406
Criptos Close binance-coin,169.82023092222363,495.72081231027056,4720.64626537478,2742.2058758953463
Criptos Close lisk,178.79491213324462,478.6286322058132,1302.8503627128355,807.9752586543949
Criptos Close zcash,170.74933475497346,478.1679715121405,306.5126176081448,342.41783883256727
