Date,bitcoin,f1v1n2e30,f1v1n4e30,f1v2n2e30,f1v2n4e30,f1v5n2e30,f1v5n4e30,f1v7n2e30,f1v7n4e30,f2v1n2e30,f2v1n4e30,f2v2n2e30,f2v2n4e30,f2v5n2e30,f2v5n4e30,f2v7n2e30,f2v7n4e30,f5v1n2e30,f5v1n4e30,f5v2n2e30,f5v2n4e30,f5v5n2e30,f5v5n4e30,f5v7n2e30,f5v7n4e30,f7v1n2e30,f7v1n4e30,f7v2n2e30,f7v2n4e30,f7v5n2e30,f7v5n4e30,f7v7n2e30,f7v7n4e30
2017-01-01,998.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-02,1021.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-03,1043.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-04,1154.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-05,1013.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-06,902.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-07,908.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-08,911.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-09,902.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-10,907.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-11,777.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-12,804.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-13,823.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-14,818.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-15,821.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-16,831.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-17,907.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-18,886.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-19,899.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-20,895.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-21,921.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-22,924.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-23,921.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-24,892.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-25,901.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-26,917.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-27,919.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-28,921.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-29,919.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-30,920.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-31,970.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-01,989.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-02,1011.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-03,1029.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-04,1042.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-05,1027.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
