f1v1n2e20,Y
7763.4136,8987.05
7514.769,9348.48
7829.558,9419.08
7889.9204,9240.55
7667.652,9119.01
7656.309,9235.92
7786.854,9743.86
8182.553,9700.76
8108.037,9858.15
8223.2705,9654.8
7916.701,9373.01
7657.2886,9234.82
7634.028,9325.18
7711.685,9043.94
7499.396,8441.49
7149.464,8504.89
7182.799,8723.94
7475.7046,8716.79
7497.342,8510.38
7355.659,8368.83
7314.499,8094.32
7064.8647,8250.97
7164.9966,8247.18
7147.491,8513.25
7335.591,8418.99
7231.741,8041.78
6882.635,7557.82
6527.9014,7587.34
6607.0547,7480.14
