Date,bitcoin,prediccion_f2v1n2e20
2018-04-28,9348.48,8778.01
2018-04-29,9419.08,8379.288
2018-04-30,9240.55,8714.992
2018-05-01,9119.01,8681.204
2018-05-02,9235.92,8432.128
2018-05-03,9743.86,8389.148
2018-05-04,9700.76,8497.735
2018-05-05,9858.15,8882.514
2018-05-06,9654.8,8834.946
2018-05-07,9373.01,9032.404
2018-05-08,9234.82,9042.11
2018-05-09,9325.18,8718.184
2018-05-10,9043.94,8578.29
2018-05-11,8441.49,8655.816
2018-05-12,8504.89,8132.7114
2018-05-13,8723.94,7937.9575
2018-05-14,8716.79,7979.265
2018-05-15,8510.38,8186.7295
2018-05-16,8368.83,8334.923
2018-05-17,8094.32,8130.7837
2018-05-18,8250.97,7888.0156
2018-05-19,8247.18,7818.44
2018-05-20,8513.25,8019.526
2018-05-21,8418.99,7858.4517
2018-05-22,8041.78,8046.0405
2018-05-23,7557.82,7782.614
2018-05-24,7587.34,7188.7207
2018-05-25,7480.14,6747.0664
