Date,bitcoin,prediccion_f5v2n4e20
2018-05-02,9235.92,7672.2896
2018-05-03,9743.86,7720.9697
2018-05-04,9700.76,7815.6523
2018-05-05,9858.15,7701.9316
2018-05-06,9654.8,7640.011
2018-05-07,9373.01,7697.7764
2018-05-08,9234.82,7926.291
2018-05-09,9325.18,8060.2866
2018-05-10,9043.94,8177.6455
2018-05-11,8441.49,8236.968
2018-05-12,8504.89,8059.557
2018-05-13,8723.94,7886.8438
2018-05-14,8716.79,7841.167
2018-05-15,8510.38,7662.328
2018-05-16,8368.83,7380.4014
2018-05-17,8094.32,7280.886
2018-05-18,8250.97,7413.7217
2018-05-19,8247.18,7536.417
2018-05-20,8513.25,7464.129
2018-05-21,8418.99,7333.253
2018-05-22,8041.78,7213.743
2018-05-23,7557.82,7226.8276
2018-05-24,7587.34,7238.759
2018-05-25,7480.14,7298.3057
