Date,bitcoin,prediccion_f5v5n2e20
2018-05-05,9858.15,10971.01
2018-05-06,9654.8,10938.3955
2018-05-07,9373.01,10985.624
2018-05-08,9234.82,11169.152
2018-05-09,9325.18,11158.362
2018-05-10,9043.94,11240.692
2018-05-11,8441.49,11338.174
2018-05-12,8504.89,11237.047
2018-05-13,8723.94,11214.54
2018-05-14,8716.79,11229.68
2018-05-15,8510.38,10994.659
2018-05-16,8368.83,10952.72
2018-05-17,8094.32,10872.241
2018-05-18,8250.97,10924.145
2018-05-19,8247.18,10930.454
2018-05-20,8513.25,10864.699
2018-05-21,8418.99,10778.165
2018-05-22,8041.78,10794.022
2018-05-23,7557.82,10827.48
2018-05-24,7587.34,10757.653
2018-05-25,7480.14,10802.085
