Date,bitcoin,prediccion_f2v5n4e20
2018-05-02,9235.92,6278.27
2018-05-03,9743.86,6155.9756
2018-05-04,9700.76,6112.4653
2018-05-05,9858.15,6048.0356
2018-05-06,9654.8,5962.798
2018-05-07,9373.01,5852.6816
2018-05-08,9234.82,5699.5547
2018-05-09,9325.18,5554.6187
2018-05-10,9043.94,5488.802
2018-05-11,8441.49,5469.797
2018-05-12,8504.89,5502.775
2018-05-13,8723.94,5378.277
2018-05-14,8716.79,5347.5537
2018-05-15,8510.38,5325.279
2018-05-16,8368.83,5270.66
2018-05-17,8094.32,5233.933
2018-05-18,8250.97,5169.941
2018-05-19,8247.18,5066.042
2018-05-20,8513.25,5075.184
2018-05-21,8418.99,5062.0376
2018-05-22,8041.78,5079.4336
2018-05-23,7557.82,5115.156
2018-05-24,7587.34,5051.323
2018-05-25,7480.14,4915.831
