,f1v0_loss,f1v0_val_loss
0,16940483.433420364,76073854.62295082
1,16940259.072236728,76073030.49180327
2,16940067.497715406,76072252.85245901
3,16939878.630874675,76071466.81967214
4,16939685.600630984,76070656.78688525
5,16939485.954416886,76069818.55737706
6,16939276.675043516,76068936.52459016
7,16939053.663076587,76068006.09836066
8,16938817.832136642,76067000.59016393
9,16938565.270343777,76065943.67213115
10,16938297.356288075,76064810.16393442
11,16938010.959965188,76063614.16393442
12,16937709.429286335,76062349.96721311
13,16937392.10313316,76061009.18032786
14,16937055.566035684,76059602.49180327
15,16936703.22856832,76058121.1147541
16,16936331.144582245,76056563.5409836
17,16935941.55102263,76054931.27868852
18,16935532.791993037,76053214.81967214
19,16935106.540687554,76051422.16393442
20,16934661.043733682,76049554.81967214
21,16934196.925696258,76047623.47540984
22,16933717.291775458,76045601.04918033
23,16933220.44810705,76043526.81967214
24,16932708.48640122,76041392.39344262
25,16932182.673629243,76039201.5737705
26,16931642.47737163,76036948.6557377
27,16931091.255874675,76034643.14754099
28,16930528.308093995,76032297.63934426
29,16929954.235966057,76029911.73770492
30,16929370.743363794,76027471.73770492
31,16928777.90230635,76025007.73770492
32,16928174.811575282,76022491.14754099
33,16927564.377393387,76019946.36065574
34,16926944.730852917,76017365.77049181
35,16926316.68200609,76014760.78688525
36,16925681.351392515,76012115.80327868
37,16925039.276762404,76009440.72131148
38,16924389.101827677,76006725.24590164
39,16923732.55221932,76003997.96721311
40,16923067.187010445,76001229.90163934
41,16922396.027197562,75998430.22950819
42,16921718.12184508,75995606.16393442
43,16921033.24140557,75992754.29508197
44,16920341.07321584,75989878.03278689
45,16919650.56320714,75987019.67213115
46,16918998.710073978,75984358.68852459
47,16918357.71072672,75981685.50819673
48,16917713.557223674,75979008.52459016
49,16917078.558964316,75976397.44262294
50,16916453.352806788,75973798.55737706
51,16915846.641427327,75971316.26229508
52,16915290.984442994,75969041.24590164
53,16914742.747824196,75966759.73770492
54,16914197.19875979,75964536.91803278
55,16913705.054612707,75962512.98360656
56,16913216.9341819,75960478.75409836
57,16912729.71638381,75958462.81967214
58,16912270.39599652,75956579.47540984
59,16911819.1417537,75954708.32786885
60,16911370.392950393,75952840.98360656
61,16910923.816579636,75950990.03278689
62,16910479.03448651,75949140.59016393
63,16910035.918842472,75947301.83606558
64,16909594.695278503,75945472.59016393
65,16909155.85313316,75943649.83606558
66,16908717.519038294,75941838.8852459
67,16908333.884355962,75940305.31147541
68,16907964.345735423,75938773.63934426
69,16907598.856179286,75937248.06557377
70,16907236.316362053,75935744.59016393
71,16906876.139142733,75934247.21311475
72,16906517.51196693,75932757.83606558
73,16906161.398498695,75931270.36065574
74,16905806.60911662,75929805.37704918
75,16905453.911009572,75928346.09836066
76,16905103.57800261,75926881.1147541
77,16904754.59954308,75925429.83606558
78,16904406.791340295,75923988.4590164
79,16904061.747171454,75922559.67213115
80,16903716.622715406,75921128.59016393
81,16903373.86238033,75919697.50819673
82,16903032.80211053,75918278.62295082
83,16902691.8705396,75916865.44262294
84,16902353.95844212,75915454.55737706
85,16902015.489447344,75914045.5737705
86,16901678.61183638,75912646.49180327
87,16901342.303959966,75911251.60655738
88,16901007.24684508,75909854.81967214
89,16900672.028176676,75908459.5409836
90,16900340.110095736,75907081.04918033
91,16900007.994451698,75905700.26229508
92,16899676.936357703,75904321.37704918
93,16899345.587576155,75902948.59016393
94,16899015.460291557,75901572.0
95,16898686.435487382,75900204.91803278
96,16898358.84878155,75898836.32786885
97,16898030.78818538,75897475.73770492
98,16897704.175587468,75896112.85245901
99,16897376.37978677,75894754.16393442
100,16897050.640339427,75893407.67213115
101,16896726.222911227,75892038.68852459
102,16896400.489556137,75890696.0
103,16896076.662423845,75889349.50819673
104,16895753.740100086,75888006.81967214
105,16895430.21235857,75886659.93442623
106,16895107.315491732,75885315.73770492
107,16894784.782201916,75883973.04918033
108,16894463.37989556,75882638.36065574
109,16894141.5937772,75881291.47540984
110,16893820.635008704,75879965.18032786
111,16893501.825935595,75878620.19672132
112,16893180.5256745,75877289.70491803
113,16892861.05635335,75875965.31147541
114,16892541.140339427,75874630.62295082
115,16892222.843994778,75873310.03278689
116,16891903.632724106,75871975.3442623
117,16891585.52241079,75870646.75409836
118,16891267.502284594,75869322.36065574
119,16890950.156766754,75868005.96721311
120,16890632.36281549,75866679.27868852
121,16890314.506309833,75865367.08196722
122,16889998.040361185,75864038.49180327
123,16889681.821910355,75862732.0
124,16889366.37913403,75861415.60655738
125,16889049.34453873,75860092.72131148
126,16888733.66731941,75858776.32786885
127,16888417.97443429,75857466.03278689
128,16888102.553959966,75856155.3442623
129,16887787.62423847,75854838.95081967
130,16887472.544495214,75853528.6557377
131,16887157.809617057,75852213.77049181
132,16886843.509464752,75850909.5737705
133,16886528.600522194,75849595.08196722
134,16886215.020343777,75848284.39344262
135,16885902.084312446,75846979.80327868
